,Case900FF
free_float_temperature_Jul27_13,39.787531279720525
free_float_temperature_Jul27_14,40.01565393484268
free_float_temperature_Jul27_15,39.92027770360372
free_float_temperature_Jul27_16,39.72931965257993
free_float_temperature_Jul27_17,39.29291632952178
free_float_temperature_Jul27_18,38.61414965843831
free_float_temperature_Jul27_19,38.12748207136916
free_float_temperature_Jul27_20,37.725410189031706
free_float_temperature_Jul27_21,37.26909204778772
free_float_temperature_Jul27_22,36.84329121157579
free_float_temperature_Jul27_23,36.42468427436352
room_air_temperature_distribution_-50,0.0
room_air_temperature_distribution_-49,0.0
room_air_temperature_distribution_-48,0.0
room_air_temperature_distribution_-47,0.0
room_air_temperature_distribution_-46,0.0
room_air_temperature_distribution_-45,0.0
room_air_temperature_distribution_-44,0.0
room_air_temperature_distribution_-43,0.0
room_air_temperature_distribution_-42,0.0
room_air_temperature_distribution_-41,0.0
room_air_temperature_distribution_-40,0.0
room_air_temperature_distribution_-39,0.0
room_air_temperature_distribution_-38,0.0
room_air_temperature_distribution_-37,0.0
room_air_temperature_distribution_-36,0.0
room_air_temperature_distribution_-35,0.0
room_air_temperature_distribution_-34,0.0
room_air_temperature_distribution_-33,0.0
room_air_temperature_distribution_-32,0.0
room_air_temperature_distribution_-31,0.0
room_air_temperature_distribution_-30,0.0
room_air_temperature_distribution_-29,0.0
room_air_temperature_distribution_-28,0.0
room_air_temperature_distribution_-27,0.0
room_air_temperature_distribution_-26,0.0
room_air_temperature_distribution_-25,0.0
room_air_temperature_distribution_-24,0.0
room_air_temperature_distribution_-23,0.0
room_air_temperature_distribution_-22,0.0
room_air_temperature_distribution_-21,0.0
room_air_temperature_distribution_-20,0.0
room_air_temperature_distribution_-19,0.0
room_air_temperature_distribution_-18,0.0
room_air_temperature_distribution_-17,0.0
room_air_temperature_distribution_-16,0.0
room_air_temperature_distribution_-15,0.0
room_air_temperature_distribution_-14,0.0
room_air_temperature_distribution_-13,0.0
room_air_temperature_distribution_-12,0.0
room_air_temperature_distribution_-11,0.0
room_air_temperature_distribution_-10,0.0
room_air_temperature_distribution_-9,0.0
room_air_temperature_distribution_-8,0.0
room_air_temperature_distribution_-7,0.0
room_air_temperature_distribution_-6,0.0
room_air_temperature_distribution_-5,0.0
room_air_temperature_distribution_-4,0.0
room_air_temperature_distribution_-3,2.0
room_air_temperature_distribution_-2,5.0
room_air_temperature_distribution_-1,6.0
room_air_temperature_distribution_0,7.0
room_air_temperature_distribution_1,15.0
room_air_temperature_distribution_2,14.0
room_air_temperature_distribution_3,18.0
room_air_temperature_distribution_4,16.0
room_air_temperature_distribution_5,21.0
room_air_temperature_distribution_6,24.0
room_air_temperature_distribution_7,32.0
room_air_temperature_distribution_8,29.0
room_air_temperature_distribution_9,44.0
room_air_temperature_distribution_10,56.0
room_air_temperature_distribution_11,63.0
room_air_temperature_distribution_12,98.0
room_air_temperature_distribution_13,114.0
room_air_temperature_distribution_14,143.0
room_air_temperature_distribution_15,167.0
room_air_temperature_distribution_16,187.0
room_air_temperature_distribution_17,230.0
room_air_temperature_distribution_18,268.0
room_air_temperature_distribution_19,322.0
room_air_temperature_distribution_20,335.0
room_air_temperature_distribution_21,367.0
room_air_temperature_distribution_22,383.0
room_air_temperature_distribution_23,395.0
room_air_temperature_distribution_24,369.0
room_air_temperature_distribution_25,410.0
room_air_temperature_distribution_26,406.0
room_air_temperature_distribution_27,464.0
room_air_temperature_distribution_28,434.0
room_air_temperature_distribution_29,444.0
room_air_temperature_distribution_30,448.0
room_air_temperature_distribution_31,405.0
room_air_temperature_distribution_32,357.0
room_air_temperature_distribution_33,336.0
room_air_temperature_distribution_34,316.0
room_air_temperature_distribution_35,253.0
room_air_temperature_distribution_36,198.0
room_air_temperature_distribution_37,190.0
room_air_temperature_distribution_38,132.0
room_air_temperature_distribution_39,106.0
room_air_temperature_distribution_40,73.0
room_air_temperature_distribution_41,39.0
room_air_temperature_distribution_42,16.0
room_air_temperature_distribution_43,3.0
room_air_temperature_distribution_44,0.0
room_air_temperature_distribution_45,0.0
room_air_temperature_distribution_46,0.0
room_air_temperature_distribution_47,0.0
room_air_temperature_distribution_48,0.0
room_air_temperature_distribution_49,0.0
room_air_temperature_distribution_50,0.0
room_air_temperature_distribution_51,0.0
room_air_temperature_distribution_52,0.0
room_air_temperature_distribution_53,0.0
room_air_temperature_distribution_54,0.0
room_air_temperature_distribution_55,0.0
room_air_temperature_distribution_56,0.0
room_air_temperature_distribution_57,0.0
room_air_temperature_distribution_58,0.0
room_air_temperature_distribution_59,0.0
room_air_temperature_distribution_60,0.0
room_air_temperature_distribution_61,0.0
room_air_temperature_distribution_62,0.0
room_air_temperature_distribution_63,0.0
room_air_temperature_distribution_64,0.0
room_air_temperature_distribution_65,0.0
room_air_temperature_distribution_66,0.0
room_air_temperature_distribution_67,0.0
room_air_temperature_distribution_68,0.0
room_air_temperature_distribution_69,0.0
room_air_temperature_distribution_70,0.0
room_air_temperature_distribution_71,0.0
room_air_temperature_distribution_72,0.0
room_air_temperature_distribution_73,0.0
room_air_temperature_distribution_74,0.0
room_air_temperature_distribution_75,0.0
room_air_temperature_distribution_76,0.0
room_air_temperature_distribution_77,0.0
room_air_temperature_distribution_78,0.0
room_air_temperature_distribution_79,0.0
room_air_temperature_distribution_80,0.0
room_air_temperature_distribution_81,0.0
room_air_temperature_distribution_82,0.0
room_air_temperature_distribution_83,0.0
room_air_temperature_distribution_84,0.0
room_air_temperature_distribution_85,0.0
room_air_temperature_distribution_86,0.0
room_air_temperature_distribution_87,0.0
room_air_temperature_distribution_88,0.0
room_air_temperature_distribution_89,0.0
room_air_temperature_distribution_90,0.0
room_air_temperature_distribution_91,0.0
room_air_temperature_distribution_92,0.0
room_air_temperature_distribution_93,0.0
room_air_temperature_distribution_94,0.0
room_air_temperature_distribution_95,0.0
room_air_temperature_distribution_96,0.0
room_air_temperature_distribution_97,0.0
room_air_temperature_distribution_98,0.0
