"ModelObjectId","Zone","InheritedZoneHandle","ParentId","Block","Title","MechVentSetPointTemperature","MechVentTemperatureDifference","MinFreshAir","MinFreshAirPerArea","MechanicalVentilationOn","MechanicalVentilationRateType","MechanicalVentilationValue","EconomiserType","EconomiserMaxACH","EconomiserLockout","EconomiserUpperTemperature","EconomiserLowerTemperature","EconomiserUpperEnthalpy","HeatRecoveryOn","HeatRecoveryType","SensibleHeatRecoveryEffectiveness","LatentHeatRecoveryEffectiveness"
"Model Object Identifier","Zone","Inherited Zone Handle","Parent Identifier","Block","Identity - Identity - Name","Activity - Environmental Control > Ventilation Setpoint Temperatures > Mechanical Ventilation - Mech vent cooling (°C)","Activity - Environmental Control > Ventilation Setpoint Temperatures > Mechanical Ventilation - Delta T (deltaC)","Activity - Minimum Fresh Air - Fresh air (l/s-person)","Activity - Minimum Fresh Air - Mech vent per area (l/s-m2)","HVAC - Mechanical Ventilation - On","HVAC - Mechanical Ventilation - Outside air definition method","HVAC - Mechanical Ventilation - Outside air (ac/h)","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Type","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Max outdoor air rate when economiser operates (ac/h)","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Lockout","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Upper temperature limit (°C)","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Lower temperature limit (°C)","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Upper enthalpy limit (J/kg)","HVAC - Mechanical Ventilation > Heat Recovery - On","HVAC - Mechanical Ventilation > Heat Recovery - Heat recovery type","HVAC - Mechanical Ventilation > Heat Recovery - Sensible heat recovery effectiveness","HVAC - Mechanical Ventilation > Heat Recovery - Latent heat recovery effectiveness"
"380","05X3XOfficeSI","0","0","Block 2","05X3XOfficeSI","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"389","02XVending","0","0","Block 2","02XVending","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"397","04X3XOfficeNWP","0","0","Block 2","04X3XOfficeNWP","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"404","04X1XOfficeNP","0","0","Block 2","04X1XOfficeNP","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"411","04X2XOfficeNEP","0","0","Block 2","04X2XOfficeNEP","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"418","04X4XOfficeNI","0","0","Block 2","04X4XOfficeNI","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"473","NXMech2","0","0","Block 3","NXMech2","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"480","01XCorridor","0","0","Block 3","01XCorridor","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"500","NXStrXES1XKtchntt","0","0","Block 3","NXStrXES1XKtchntt","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"507","NXEVXDSPS","0","0","Block 3","NXEVXDSPS","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
