"ModelObjectId","Zone","InheritedZoneHandle","ParentId","Block","Title","ActivityTemplateId","ZoneType","ZoneMultiplier","IncludeZone","IncludeZoneDaylighting","FloorArea","ZoneVolumeEdit","OccupancyValueIsOccupied","OccupancyValue","OccupancySchedule","ComputersOn","ComputersValue","ComputersSchedule","ComputersRadiantFraction","EquipmentOn","EquipmentValue","EquipmentSchedule","EquipmentRadiantFraction","MiscellaneousOn","MiscellaneousValue","MiscellaneousSchedule","MiscellaneousFuel","MiscellaneousFractionLost","MiscellaneousLatentFraction","MiscellaneousRadiantFraction","CateringOn","CateringValue","CateringSchedule","CateringFuel","CateringFractionLost","CateringLatentFraction","CateringRadiantFraction","ProcessOn","ProcessValue","ProcessSchedule","ProcessFuel","ProcessFractionLost","ProcessLatentFraction","ProcessRadiantFraction"
"Model Object Identifier","Zone","Inherited Zone Handle","Parent Identifier","Block","Identity - Identity - Name","Activity - Activity Template - Template","Activity - Activity Template - Zone type","Activity - Activity Template - Zone multiplier","Activity - Activity Template - Include zone in thermal calculations","Activity - Activity Template - Include zone in Radiance daylighting calculations","Activity - Floor Areas and Volumes - Floor area (m2)","Activity - Floor Areas and Volumes - Zone volume (m3)","Activity - Occupancy - Occupied?","Activity - Occupancy - Occupancy density (people/m2)","Activity - Occupancy - Schedule","Activity - Computers - On","Activity - Computers - Power density (W/m2)","Activity - Computers - Schedule","Activity - Computers - Radiant fraction","Activity - Office Equipment - On","Activity - Office Equipment - Power density (W/m2)","Activity - Office Equipment - Schedule","Activity - Office Equipment - Radiant fraction","Activity - Miscellaneous - On","Activity - Miscellaneous - Power density (W/m2)","Activity - Miscellaneous - Schedule","Activity - Miscellaneous - Fuel","Activity - Miscellaneous - Fraction lost","Activity - Miscellaneous - Latent fraction","Activity - Miscellaneous - Radiant fraction","Activity - Catering - On","Activity - Catering - Power density (W/m2)","Activity - Catering - Schedule","Activity - Catering - Fuel","Activity - Catering - Fraction lost","Activity - Catering - Latent fraction","Activity - Catering - Radiant fraction","Activity - Process - On","Activity - Process - Power density (W/m2)","Activity - Process - Schedule","Activity - Process - Fuel","Activity - Process - Fraction lost","Activity - Process - Latent fraction","Activity - Process - Radiant fraction"
"154","01XCorridor","0","0","Block 1","01XCorridor","Generic Office Area|1105","1-Standard","1","True","True","142.7","727.92","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"180","NXStrXES1XKtchntt","0","0","Block 1","NXStrXES1XKtchntt","Generic Office Area|1105","1-Standard","1","True","True","24.7","125.84","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"187","NXEVXDSPS","0","0","Block 1","NXEVXDSPS","Generic Office Area|1105","1-Standard","1","True","True","25.1","128.24","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"194","03XEVHall","0","0","Block 1","03XEVHall","Generic Office Area|1105","1-Standard","1","True","True","13.6","69.51","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"201","NXEV","0","0","Block 1","NXEV","Generic Office Area|1105","1-Standard","1","True","True","16.9","86.29","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"208","NXDSPSXStair","0","0","Block 1","NXDSPSXStair","Generic Office Area|1105","1-Standard","1","True","True","51.8","264.33","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"217","09XOffice1","0","0","Block 1","09XOffice1","Generic Office Area|1105","1-Standard","1","True","True","360.8","1840.04","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"230","NXElecMech","0","0","Block 1","NXElecMech","Generic Office Area|1105","1-Standard","1","True","True","207.3","1057.22","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"291","NXMech2","0","0","Block 2","NXMech2","Generic Office Area|1105","1-Standard","1","True","True","47.0","183.26","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"300","01XCorridor","0","0","Block 2","01XCorridor","Generic Office Area|1105","1-Standard","1","True","True","127.0","495.22","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"320","NXStrXES1XKtchntt","0","0","Block 2","NXStrXES1XKtchntt","Generic Office Area|1105","1-Standard","1","True","True","24.7","96.23","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"327","NXEVXDSPS","0","0","Block 2","NXEVXDSPS","Generic Office Area|1105","1-Standard","1","True","True","25.1","98.07","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"334","03XEVHall","0","0","Block 2","03XEVHall","Generic Office Area|1105","1-Standard","1","True","True","13.6","53.16","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"341","NXEV","0","0","Block 2","NXEV","Generic Office Area|1105","1-Standard","1","True","True","16.9","65.99","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"348","NXStairXDSPS","0","0","Block 2","NXStairXDSPS","Generic Office Area|1105","1-Standard","1","True","True","51.8","202.14","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"358","05X2XOfficeSWP","0","0","Block 2","05X2XOfficeSWP","Generic Office Area|1105","1-Standard","1","True","True","55.1","214.77","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"365","05X1XOfficeSP","0","0","Block 2","05X1XOfficeSP","Generic Office Area|1105","1-Standard","1","True","True","161.8","630.90","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"372","NXWC","0","0","Block 2","NXWC","Generic Office Area|1105","1-Standard","1","True","True","66.7","260.03","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"380","05X3XOfficeSI","0","0","Block 2","05X3XOfficeSI","Generic Office Area|1105","1-Standard","1","True","True","275.0","1072.54","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"389","02XVending","0","0","Block 2","02XVending","Generic Office Area|1105","1-Standard","1","True","True","20.6","80.49","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"397","04X3XOfficeNWP","0","0","Block 2","04X3XOfficeNWP","Generic Office Area|1105","1-Standard","1","True","True","55.1","214.77","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"404","04X1XOfficeNP","0","0","Block 2","04X1XOfficeNP","Generic Office Area|1105","1-Standard","1","True","True","180.9","705.69","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"411","04X2XOfficeNEP","0","0","Block 2","04X2XOfficeNEP","Generic Office Area|1105","1-Standard","1","True","True","55.1","214.77","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"418","04X4XOfficeNI","0","0","Block 2","04X4XOfficeNI","Generic Office Area|1105","1-Standard","1","True","True","288.4","1124.60","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"473","NXMech2","0","0","Block 3","NXMech2","Generic Office Area|1105","1-Standard","1","True","True","47.0","183.26","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"480","01XCorridor","0","0","Block 3","01XCorridor","Generic Office Area|1105","1-Standard","1","True","True","127.0","495.22","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"500","NXStrXES1XKtchntt","0","0","Block 3","NXStrXES1XKtchntt","Generic Office Area|1105","1-Standard","1","True","True","24.7","96.23","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
"507","NXEVXDSPS","0","0","Block 3","NXEVXDSPS","Generic Office Area|1105","1-Standard","1","True","True","25.1","98.07","True","0.1110","Office_OpenOff_Occ|2864","False","0.00","Office_OpenOff_Equip|2867","0.200","True","11.77","Office_OpenOff_Equip|2867","0.200","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000","False","0.00","Office_OpenOff_Equip|2867","1-Electricity from grid","0.000000","0.000000","0.200000"
