Date/Time,Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1:Zone Other Equipment Total Heating Rate [W](Hourly),BLOCK1:ZONE1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),BLOCK1:ZONE1_WALL_E:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_N:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_W:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_FLOOR:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S_WIN_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S_WIN_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1:Zone Mean Air Temperature [C](Hourly:ON),BLOCK1:ZONE1:Zone Infiltration Air Change Rate [ach](Hourly),BLOCK1:ZONE1:Zone Air System Sensible Heating Rate [W](Hourly),BLOCK1:ZONE1:Zone Air System Sensible Cooling Rate [W](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 07/21  18:00:00,55.0,348.25,200.0,340.084520818494,44.03602810871317,124.18071320212926,445.010309795464,44.03602810871317,32.08651930164678,153.79671327483949,44.03602810871317,44.03602810871317,26.999999999999955,0.493504913123585,0.0,1398.9726356220318,720000.0,5036301.488239238,0.0,0.0 
 07/21  19:00:00,34.5,45.75,200.0,151.90736535664309,19.66980736043521,45.67059612220298,88.95496118022878,19.66980736043521,7.980151317881337,38.92835361658133,19.66980736043521,19.66980736043521,26.999999999999998,0.49588890297808427,0.0,956.8578811470975,720000.0,3444688.3721295485,0.0,0.0 
 07/21  20:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.49997553595702495,0.0,505.6502971285454,720000.0,1820341.0696627638,0.0,0.0 
 07/21  21:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.503249418283259,0.0,195.94310024937929,720000.0,705395.1608977654,0.0,0.0 
 07/21  22:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.5052658763454407,0.0,27.876452593226984,720000.0,100355.22933561719,0.0,0.0 
 07/21  23:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.680527214858736,0.5061017648104619,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/21  24:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.059080379128937,0.5066050169378102,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/22  01:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.55108235783646,0.5069284997082524,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/22  02:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.900538752754146,0.507255093748102,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/22  03:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.057725582032846,0.5081326976961825,0.0,0.0,720000.0,0.0,0.0,0.0 
