Date/Time,SOUTH WALL OVERHANG:Surface Outside Face Sunlit Area [m2](Hourly),SOUTH WALL OVERHANG:Surface Outside Face Sunlit Fraction [](Hourly),SOUTH WALL OVERHANG:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),Mir-SOUTH WALL OVERHANG:Surface Outside Face Sunlit Area [m2](Hourly),Mir-SOUTH WALL OVERHANG:Surface Outside Face Sunlit Fraction [](Hourly),Mir-SOUTH WALL OVERHANG:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE NORTH:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE NORTH:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE NORTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE EAST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE WEST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Air System Sensible Cooling Energy [J](Hourly) 
 11/25  11:00:00,0.0,0.0,0.0,8.0,1.0,470.35596426117396,0.0,0.0,85.38417764608778,16.200000000000004,1.0,343.53940905961368,5.594646989350001,0.5827757280572917,534.8470562639367,0.0,0.0,85.38417764608778,48.0,1.0,470.35596426117396,5.8573425,0.9762237500000001,851.8520042568205,3690.090101980618,3215.9019567229249,474.1881452576929,13284324.367130224,11577247.04420253,1707077.3229276946,5.8573425,0.9762237500000001,851.8520042350133,3690.0901018963988,3215.9019567229249,474.18814517347337,13284324.366827036,11577247.04420253,1707077.322624504,26.999992202685477,0.0,14375073.751383 
 11/25  12:00:00,0.0,0.0,0.0,8.0,1.0,500.60068431881509,0.0,0.0,80.5913150070532,12.150000000000003,0.75,128.22079152631893,5.485852508537499,0.5714429696393228,547.5598350399173,4.050000000000001,0.25,93.99431949400014,48.0,1.0,500.60068431881509,5.797515000000001,0.9662525,880.9237034921569,3838.8555269555456,3415.294223427737,423.56130352780806,13819879.897039965,12295059.204339857,1524820.692700109,5.797515000000001,0.9662525,880.9237034756185,3838.8555268916745,3415.294223427737,423.5613034639372,13819879.896810029,12295059.204339857,1524820.6924701739,26.999999920836886,0.0,19978004.28885641 
 11/25  13:00:00,0.0,0.0,0.0,8.0,1.0,468.87131524375817,0.0,0.0,70.94858421377077,0.0,0.0,70.94858421377077,5.554176153700002,0.5785600160104167,528.9555847469944,16.200000000000004,1.0,265.1022550322306,48.0,1.0,468.87131524375817,5.8299674999999999,0.9716612499999999,848.4933081431442,3697.414772482754,3335.8001494816228,361.61462300113137,13310693.180937915,12008880.538133843,1301812.6428040728,5.8299674999999999,0.9716612499999999,848.4933081305468,3697.414772434103,3335.8001494816228,361.61462295248017,13310693.180762772,12008880.538133843,1301812.6426289287,26.999999998639184,0.0,22171059.956449909 
 11/25  14:00:00,0.0,0.0,0.0,8.0,1.0,383.8502410767749,0.0,0.0,58.383233949604818,0.0,0.0,58.383233949604818,5.732952368600002,0.5971825383958335,478.5592518519716,16.200000000000004,1.0,445.63910694525046,48.0,1.0,383.8502410767749,5.9530006366875,0.99216677278125,763.4797207562323,3301.3279430300246,3001.8835724334387,299.44437059658619,11884780.594908089,10806780.86076038,1077999.7341477103,5.95287,0.9921449999999999,763.4644794888441,3301.261571798894,3001.818939174269,299.44263262462479,11884541.658476018,10806548.18102737,1077993.4774486493,26.999999999974123,0.0,21657477.033550379 
 11/25  15:00:00,0.0,0.0,0.0,8.0,1.0,258.0722169319425,0.0,0.0,44.827715890364817,0.0,0.0,44.827715890364817,6.396475688312502,0.6662995508658856,414.20710503797218,16.200000000000004,1.0,546.7016119498085,48.0,1.0,258.0722169319425,6.0,1.0,607.0803167639084,2565.865589253695,2317.0078118289518,248.85777742474316,9237116.1213133,8341228.122584226,895887.9987290753,6.0,1.0,607.0803167540578,2565.8655892156518,2317.0078118289518,248.85777738669996,9237116.121176346,8341228.122584226,895887.9985921198,26.999999999999579,0.0,18837173.20946098 
 11/25  16:00:00,0.0,0.0,0.0,8.0,1.0,115.87152934169704,0.0,0.0,30.631198251012294,0.0,0.0,30.631198251012294,7.665957773225,0.7985372680442707,300.253241100117,16.200000000000004,1.0,490.52712799105418,48.0,1.0,115.87152934169704,6.0,1.0,377.4616486749432,1514.0006185943396,1260.3866116385519,253.61400695578795,5450402.226939623,4537391.801898786,913010.4250408367,6.0,1.0,377.46164866385467,1514.0006185515156,1260.3866116385519,253.6140069129637,5450402.226785455,4537391.801898786,913010.4248866693,27.0,0.0,13486229.613990175 
 11/25  17:00:00,0.0,0.0,0.0,4.0,0.5,15.655317466191761,0.0,0.0,7.7351416211504599,0.0,0.0,7.7351416211504599,4.570525759050001,0.476096433234375,56.260948463698827,8.100000000000002,0.5,103.30945790073085,24.0,0.5,15.655317466191761,3.0,0.5,60.584644696675329,227.27615274869005,146.57766757847444,80.6984851702156,818194.1498952841,527679.603282508,290514.5466127762,3.0,0.5,60.58464469104089,227.27615272692985,146.57766757847444,80.69848514845539,818194.1498169475,527679.603282508,290514.54653443946,27.0,0.0,5795720.101122466 
 11/25  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.93661879945369,0.0,736240.9365423882 
 11/25  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.528952327914568,0.0,0.0 
 11/25  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.299790202335069,0.0,0.0 
