Date/Time,WALL_S:Surface Outside Face Sunlit Area [m2](Hourly),WALL_S:Surface Outside Face Sunlit Fraction [](Hourly),WALL_S:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_N:Surface Outside Face Sunlit Area [m2](Hourly),WALL_N:Surface Outside Face Sunlit Fraction [](Hourly),WALL_N:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_W:Surface Outside Face Sunlit Area [m2](Hourly),WALL_W:Surface Outside Face Sunlit Fraction [](Hourly),WALL_W:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_E:Surface Outside Face Sunlit Area [m2](Hourly),WALL_E:Surface Outside Face Sunlit Fraction [](Hourly),WALL_E:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Sunlit Area [m2](Hourly),ROOF:Surface Outside Face Sunlit Fraction [](Hourly),ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_E1:Surface Outside Face Sunlit Area [m2](Hourly),WINDOW_E1:Surface Outside Face Sunlit Fraction [](Hourly),WINDOW_E1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_E1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),WINDOW_E1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),WINDOW_E1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),WINDOW_E1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WINDOW_E1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),WINDOW_E1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),WINDOW_W1:Surface Outside Face Sunlit Area [m2](Hourly),WINDOW_W1:Surface Outside Face Sunlit Fraction [](Hourly),WINDOW_W1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_W1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),WINDOW_W1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),WINDOW_W1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),WINDOW_W1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WINDOW_W1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),WINDOW_W1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE1:Zone Mean Air Temperature [C](Hourly),ZONE1:Zone Air System Sensible Heating Energy [J](Hourly),ZONE1:Zone Air System Sensible Cooling Energy [J](Hourly) 
 01/26  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4979507.809333583,0.0 
 01/26  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5296721.105717172,0.0 
 01/26  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5395481.466830372,0.0 
 01/26  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5419832.095936686,0.0 
 01/26  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5487744.453437287,0.0 
 01/26  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5580243.73538496,0.0 
 01/26  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5659386.9277295279,0.0 
 01/26  08:00:00,16.200000000000004,0.75,6.580534118677902,0.0,0.0,6.292503951508694,0.0,0.0,6.292503951508693,7.6499999999999999,0.7499999999999998,6.77147543174028,36.0,0.75,12.24883263064019,4.5,0.75,6.771475431740283,26.4178495673575,2.116191608099135,24.301657959258369,95104.25844248702,7618.289789156886,87485.96865333012,0.0,0.0,6.292503951508694,24.301657959258369,0.0,24.301657959258369,87485.96865333012,0.0,87485.96865333012,20.0,5695638.238190571,0.0 
 01/26  09:00:00,21.6,1.0,21.475242959356345,0.0,0.0,19.637738759431124,0.0,0.0,19.637738759431124,10.2,0.9999999999999997,21.897778415218107,48.0,1.0,38.43930470683797,6.0,1.0,21.897778415218118,85.61871183117975,9.777740716565646,75.84097111461409,308227.3625922471,35199.86657963632,273027.4960126108,0.0,0.0,19.637738759431124,75.84097111461409,0.0,75.84097111461409,273027.4960126108,0.0,273027.4960126108,20.0,5637150.46466034,0.0 
 01/26  10:00:00,21.6,1.0,34.13639085231923,0.0,0.0,31.296392934812255,0.0,0.0,31.296392934812244,10.2,0.9999999999999997,33.60945034794486,48.0,1.0,61.16947275535122,6.0,1.0,33.60945034794487,130.15362525076075,9.286917447103884,120.86670780365685,468553.05090273867,33432.90280957398,435120.14809316469,0.0,0.0,31.296392934812255,120.86670780365685,0.0,120.86670780365685,435120.14809316469,0.0,435120.14809316469,20.000000000000005,5462373.185549104,0.0 
 01/26  11:00:00,21.6,1.0,43.157946166656419,0.0,0.0,39.79608769854851,0.0,0.0,39.796087698548507,10.2,0.9999999999999997,41.36501788041105,48.0,1.0,77.54511334026535,6.0,1.0,41.36501788041107,158.5540693087018,4.861529928587375,153.6925393801144,570794.6495113263,17501.507742914553,553293.1417684119,0.0,0.0,39.79608769854851,153.6925393801144,0.0,153.6925393801144,553293.1417684119,0.0,553293.1417684119,20.0,5140169.946616051,0.0 
 01/26  12:00:00,21.6,1.0,48.22557002611098,0.0,0.0,44.04933669260251,0.0,0.0,44.04933669260251,10.2,0.9999999999999997,44.73968918423443,48.0,1.0,85.956627697193,6.0,1.0,44.73968918423444,171.06574165338754,0.9471494546208279,170.1185921987667,615836.6699521951,3409.7380366349805,612426.9319155602,0.0,0.0,44.04933669260251,170.1185921987667,0.0,170.1185921987667,612426.9319155602,0.0,612426.9319155602,20.0,4785545.137085248,0.0 
 01/26  13:00:00,21.6,1.0,182.4717406183341,0.0,0.0,50.31098470466128,10.2,0.9999999999999997,77.6850952278097,0.0,0.0,50.310984704661269,48.0,1.0,144.01485347371313,0.0,0.0,50.31098470466128,194.30108448211889,0.0,194.30108448211889,699483.9041356279,0.0,699483.9041356279,6.0,1.0,77.68509522780971,248.15890564710055,30.880267257404339,217.2786383896962,893372.0603295619,111168.96212665562,782203.0982029063,20.000000000000005,4396182.0904796379,0.0 
