Date/Time,WALL_S:Surface Outside Face Sunlit Area [m2](Hourly),WALL_S:Surface Outside Face Sunlit Fraction [](Hourly),WALL_S:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_N:Surface Outside Face Sunlit Area [m2](Hourly),WALL_N:Surface Outside Face Sunlit Fraction [](Hourly),WALL_N:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_W:Surface Outside Face Sunlit Area [m2](Hourly),WALL_W:Surface Outside Face Sunlit Fraction [](Hourly),WALL_W:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_E:Surface Outside Face Sunlit Area [m2](Hourly),WALL_E:Surface Outside Face Sunlit Fraction [](Hourly),WALL_E:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Sunlit Area [m2](Hourly),ROOF:Surface Outside Face Sunlit Fraction [](Hourly),ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_S1:Surface Outside Face Sunlit Area [m2](Hourly),WINDOW_S1:Surface Outside Face Sunlit Fraction [](Hourly),WINDOW_S1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_S1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),WINDOW_S1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),WINDOW_S1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),WINDOW_S1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WINDOW_S1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),WINDOW_S1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),WINDOW_S2:Surface Outside Face Sunlit Area [m2](Hourly),WINDOW_S2:Surface Outside Face Sunlit Fraction [](Hourly),WINDOW_S2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_S2:Surface Window Transmitted Solar Radiation Rate [W](Hourly),WINDOW_S2:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),WINDOW_S2:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),WINDOW_S2:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WINDOW_S2:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),WINDOW_S2:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE1:Zone Mean Air Temperature [C](Hourly),ZONE1:Zone Air System Sensible Heating Energy [J](Hourly),ZONE1:Zone Air System Sensible Cooling Energy [J](Hourly) 
 03/17  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000015,4476204.207404546,0.0 
 03/17  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4627853.189923877,0.0 
 03/17  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4791684.339042177,0.0 
 03/17  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5024301.75655892,0.0 
 03/17  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000005,5250681.210888324,0.0 
 03/17  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999998,5123540.909735951,0.0 
 03/17  07:00:00,9.600000000000002,1.0,75.1343400150395,0.0,0.0,41.01999211798597,0.0,0.0,41.01999211798597,16.200000000000004,1.0,280.2967578516562,48.0,1.0,99.04665275551305,6.0,1.0,75.1343400150395,252.8749350087823,18.709671594607785,234.16526341417453,910349.7660316164,67354.81774058803,842994.9482910284,6.0,1.0,75.1343400150395,252.8749350087823,18.709671594607785,234.16526341417453,910349.7660316164,67354.81774058803,842994.9482910284,20.0,3963416.5833449626,0.0 
 03/17  08:00:00,9.600000000000002,1.0,259.5325672575154,0.0,0.0,98.96248893194604,0.0,0.0,98.96248893194604,16.200000000000004,1.0,607.420511821985,48.0,1.0,294.6532430254871,6.0,1.0,259.5325672575154,837.1665704911651,289.30159088677785,547.8649796043873,3013799.6537681946,1041485.7271924003,1972313.9265757942,6.0,1.0,259.5325672575154,837.1665704911651,289.30159088677785,547.8649796043873,3013799.6537681946,1041485.7271924003,1972313.9265757942,20.0,1299968.154082424,0.0 
 03/17  09:00:00,9.600000000000002,1.0,463.4935998725491,0.0,0.0,130.83029091860298,0.0,0.0,130.83029091860298,16.200000000000004,1.0,731.5924860644086,48.0,1.0,488.0546658412121,6.0,1.0,463.4935998725491,1664.6704474976987,898.0076571509716,766.6627903467271,5992813.610991715,3232827.5657434978,2759986.045248218,6.0,1.0,463.4935998725491,1664.6704474976987,898.0076571509716,766.6627903467271,5992813.610991715,3232827.5657434978,2759986.045248218,21.77559746332318,0.0,0.0 
 03/17  10:00:00,9.600000000000002,1.0,649.7732986414701,0.0,0.0,142.62206254361895,0.0,0.0,142.62206254361895,16.200000000000004,1.0,688.6772643867525,48.0,1.0,655.2482821431293,6.0,1.0,649.7732986414701,2515.5016643085384,1639.585419377328,875.9162449312098,9055805.991510738,5902507.509758381,3153298.4817523558,6.0,1.0,649.7732986414701,2515.5016643085384,1639.585419377328,875.9162449312098,9055805.991510738,5902507.509758381,3153298.4817523558,26.20766642257803,0.0,1080208.8977033657 
