Date/Time,BLOCK1:ZONEA:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEB:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEC:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEA:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEA:Zone Air System Sensible Cooling Energy [J](Hourly),BLOCK1:ZONEB:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEB:Zone Air System Sensible Cooling Energy [J](Hourly),BLOCK1:ZONEC:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEC:Zone Air System Sensible Cooling Energy [J](Hourly) 
 05/29  22:00:00,29.646040515799766,22.971736517644719,15.0,0.0,0.0,0.0,0.0,0.0,1591613.59507816 
 05/29  23:00:00,28.849084005656129,22.488303238110654,15.0,0.0,0.0,0.0,0.0,0.0,1268181.6538289183 
 05/29  24:00:00,28.03339184795336,21.98675561270098,15.0,0.0,0.0,0.0,0.0,0.0,864825.8156148633 
 05/30  01:00:00,27.25883839570121,21.503430507436968,15.0,0.0,0.0,0.0,0.0,0.0,471569.7381111799 
 05/30  02:00:00,26.662469714809608,21.128155322853077,15.0,0.0,0.0,0.0,0.0,0.0,196065.97354390764 
 05/30  03:00:00,26.202189523750055,20.83703203678055,14.990117821912499,0.0,0.0,0.0,0.0,0.0,22655.239192659446 
 05/30  04:00:00,25.844906999608115,20.60863812732358,14.907269547721178,0.0,0.0,0.0,0.0,0.0,0.0 
 05/30  05:00:00,25.59776718630448,20.44756864602886,14.834884338324878,0.0,0.0,0.0,0.0,0.0,0.0 
 05/30  06:00:00,25.429601908685098,20.335945830451064,14.78434312584201,0.0,0.0,0.0,0.0,0.0,0.0 
 05/30  07:00:00,25.38125537480254,20.300889008621348,14.781911464125447,0.0,0.0,0.0,0.0,0.0,0.0 
 05/30  08:00:00,25.602994818427946,20.443235778590564,14.907969398248622,0.0,0.0,0.0,0.0,0.0,0.0 
 05/30  09:00:00,26.03589356453042,20.720443696858177,14.999937695458522,0.0,0.0,0.0,0.0,0.0,199368.8220979523 
 05/30  10:00:00,26.636576157780526,21.101803948655616,14.999999999830582,0.0,0.0,0.0,0.0,0.0,530606.2256518365 
 05/30  11:00:00,27.457128309577408,21.611885450330968,14.99999999999999,0.0,0.0,0.0,0.0,0.0,868428.9632539526 
 05/30  12:00:00,28.431117876228386,22.20153267824292,15.000000000000002,0.0,0.0,0.0,0.0,0.0,1220015.5746601558 
 05/30  13:00:00,29.525499092919,22.84329440111,15.0,0.0,0.0,0.0,0.0,0.0,1528263.9813435793 
 05/30  14:00:00,30.688902700473365,23.49891799602479,14.999999999999999,0.0,0.0,0.0,0.0,0.0,1903807.0687239087 
 05/30  15:00:00,31.947889887029424,24.180447170606614,15.0,0.0,0.0,0.0,0.0,0.0,2418523.248938554 
 05/30  16:00:00,33.169373075096348,24.824494213653926,15.0,0.0,0.0,0.0,0.0,0.0,2948818.1601693958 
 05/30  17:00:00,34.10813650153277,25.36169127879905,14.999999999999999,0.0,0.0,0.0,0.0,0.0,3318847.7953845679 
 05/30  18:00:00,34.80303581155789,25.778134020696166,15.0,0.0,0.0,0.0,0.0,0.0,3561814.8689881938 
 05/30  19:00:00,35.255586501395608,26.067189693048687,14.999999999999999,0.0,0.0,0.0,0.0,0.0,3679700.2617783497 
 05/30  20:00:00,35.283121566382437,26.13466165752528,15.0,0.0,0.0,0.0,0.0,0.0,3583529.3996715957 
 05/30  21:00:00,34.972860580102508,26.00402306100452,15.0,0.0,0.0,0.0,0.0,0.0,3362812.0649576557 
 05/30  22:00:00,34.37239959059818,25.702293197115716,15.0,0.0,0.0,0.0,0.0,0.0,3070716.066580738 
 05/30  23:00:00,33.40444875675121,25.175887979138034,14.999999999999999,0.0,0.0,0.0,0.0,0.0,2709197.266291823 
 05/30  24:00:00,32.19241580206344,24.487274296993794,15.0,0.0,0.0,0.0,0.0,0.0,2273380.184234162 
 05/31  01:00:00,30.820430651682356,23.679458422442374,15.0,0.0,0.0,0.0,0.0,0.0,1849960.219754979 
 05/31  02:00:00,29.60551860587587,22.948197360016719,15.0,0.0,0.0,0.0,0.0,0.0,1501923.3905472926 
 05/31  03:00:00,28.531483976118929,22.291139036220387,15.0,0.0,0.0,0.0,0.0,0.0,1012851.269940316 
 05/31  04:00:00,27.592405496356258,21.709013854473438,15.0,0.0,0.0,0.0,0.0,0.0,557079.2848816569 
 05/31  05:00:00,26.88792507734742,21.267848687165747,15.0,0.0,0.0,0.0,0.0,0.0,244472.56858359485 
 05/31  06:00:00,26.355575931459236,20.93240808432979,14.99607432730744,0.0,0.0,0.0,0.0,0.0,40506.73349128647 
 05/31  07:00:00,26.17548434096893,20.815374796529036,14.98905174189785,0.0,0.0,0.0,0.0,0.0,63364.78229916861 
 05/31  08:00:00,26.85097826481474,21.23305817173606,14.999999949334635,0.0,0.0,0.0,0.0,0.0,480616.62459401789 
 05/31  09:00:00,28.101474449060228,21.96132925200637,14.99999999999887,0.0,0.0,0.0,0.0,0.0,1083375.557417348 
 05/31  10:00:00,29.769606124821313,22.85083166765023,15.0,0.0,0.0,0.0,0.0,0.0,1666240.101028274 
 05/31  11:00:00,31.61049035231741,23.79641049290226,15.0,0.0,0.0,0.0,0.0,0.0,2481428.8863805069 
 05/31  12:00:00,33.56227199732089,24.805223623078619,15.0,0.0,0.0,0.0,0.0,0.0,3551394.111601634 
 05/31  13:00:00,35.4964743156928,25.80630216755016,15.0,0.0,0.0,0.0,0.0,0.0,4612979.139106485 
 05/31  14:00:00,37.106767229461997,26.6316135472546,15.0,0.0,0.0,0.0,0.0,0.0,5310302.892886239 
 05/31  15:00:00,38.378493649244209,27.29212535288898,15.0,0.0,0.0,0.0,0.0,0.0,5758841.175572604 
 05/31  16:00:00,39.3585787660331,27.81687298225458,14.999999999999999,0.0,0.0,0.0,0.0,0.0,6069668.806512838 
 05/31  17:00:00,40.06385840002147,28.22081037964244,15.0,0.0,0.0,0.0,0.0,0.0,6250294.07230177 
 05/31  18:00:00,40.56311620217495,28.53108752761289,15.0,0.0,0.0,0.0,0.0,0.0,6356365.8926025 
 05/31  19:00:00,40.62027768378672,28.694402539104183,15.0,0.0,0.0,0.0,0.0,0.0,6163167.1741031729 
 05/31  20:00:00,39.696082676293027,28.430547940264888,15.0,0.0,0.0,0.0,0.0,0.0,5400282.8923829379 
 05/31  21:00:00,38.35017661682583,27.84752522216161,15.0,0.0,0.0,0.0,0.0,0.0,4621484.303156633 
 05/31  22:00:00,36.82121215410487,27.080680250641668,15.0,0.0,0.0,0.0,0.0,0.0,3916083.187961378 
 05/31  23:00:00,35.17204993810005,26.190867069217185,14.999999999999999,0.0,0.0,0.0,0.0,0.0,3271300.338961983 
 05/31  24:00:00,33.43020496005428,25.20904702482168,15.0,0.0,0.0,0.0,0.0,0.0,2628611.616712285 
 06/01  01:00:00,31.532530246624395,24.105036582177648,15.0,0.0,0.0,0.0,0.0,0.0,1992432.8896729449 
 06/01  02:00:00,29.46980977602457,22.868359480944777,15.0,0.0,0.0,0.0,0.0,0.0,1270600.0028719688 
 06/01  03:00:00,27.653972203868244,21.749566928391709,14.998799404187274,0.0,0.0,0.0,0.0,0.0,318298.1398046935 
 06/01  04:00:00,26.17303400963992,20.812557513401879,14.713696204600105,0.0,0.0,0.0,0.0,0.0,0.0 
 06/01  05:00:00,25.040883483591423,20.0658041373974,14.284961401130908,0.0,0.0,0.0,0.0,0.0,0.0 
 06/01  06:00:00,24.291522628613135,19.5479824282049,13.994882460199556,0.0,0.0,0.0,0.0,0.0,0.0 
 06/01  07:00:00,23.809576135072754,19.201167544594463,13.815065025333656,0.0,0.0,0.0,0.0,0.0,0.0 
 06/01  08:00:00,23.438380119138367,18.925791579871178,13.671530337046982,0.0,0.0,0.0,0.0,0.0,0.0 
 06/01  09:00:00,23.232777402957184,18.76468485067414,13.601498468064398,0.0,0.0,0.0,0.0,0.0,0.0 
 06/01  10:00:00,23.300475791088478,18.794568524394,13.663263699294549,0.0,0.0,0.0,0.0,0.0,0.0 
 06/01  11:00:00,23.941112179241548,19.222654208621788,13.994304172214747,0.0,0.0,0.0,0.0,0.0,0.0 
