Date/Time,ZONE SURFACE NORTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Air System Sensible Cooling Energy [J](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7063654674815496,0.0,0.0 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3137297429530971,0.0,0.0 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263431533494101,0.0,0.0 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23271426960207707,0.0,0.0 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21366596683366469,0.0,0.0 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20264351129109416,0.0,0.0 
 01/01  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6193315239092235,0.0,0.0 
 01/01  08:00:00,10.47787655404598,34.96870340881286,27.94454161096552,10.47787655404598,21.28967788716912,27.94454161096552,108.890393673475,29.431577222826513,79.4588164506485,392005.41722451,105953.67800217544,286051.7392223346,27.94454161096552,108.890393673475,29.431577222826513,79.4588164506485,392005.41722451,105953.67800217544,286051.7392223346,1.932146624190652,0.0,0.0 
 01/01  09:00:00,44.793975807424249,121.41203021419807,115.47058895630183,44.793975807424249,96.95523105932236,115.47058895630183,457.91070163866228,150.75308141246576,307.1576202261965,1648478.5258991842,542711.0930848767,1105767.4328143076,115.47058895630183,457.91070163866228,150.75308141246576,307.1576202261965,1648478.5258991842,542711.0930848767,1105767.4328143076,3.191873215911139,0.0,0.0 
 01/01  10:00:00,61.965361361569247,170.09457502782943,233.25254668363696,61.965361361569247,160.78952649948583,233.25254668363696,964.5217314751006,543.9586151595722,420.5631163155284,3472278.2333103625,1958251.0145744598,1514027.218735902,233.25254668363696,964.5217314751006,543.9586151595722,420.5631163155284,3472278.2333103625,1958251.0145744598,1514027.218735902,5.3501334962855779,0.0,0.0 
 01/01  11:00:00,83.91926025643756,357.2042066410488,793.7373053793676,83.91926025643756,387.31353899532987,793.7373053793676,3412.592706638612,2762.024208186727,650.5684984518852,12285333.743899,9943287.149472218,2342046.594426787,793.7373053793676,3412.592706638612,2762.024208186727,650.5684984518852,12285333.743899,9943287.149472218,2342046.594426787,12.608267560359284,0.0,0.0 
 01/01  12:00:00,85.35121578415792,184.04226536728127,951.8006129584787,85.35121578415792,477.27341316434549,951.8006129584787,4146.1918889649709,3622.9939448400148,523.1979441249555,14926290.800273894,13042778.201424053,1883512.59884984,951.8006129584787,4146.1918889649709,3622.9939448400148,523.1979441249555,14926290.800273894,13042778.201424053,1883512.59884984,23.90142045173264,0.0,533049.4746899327 
 01/01  13:00:00,70.6686357813885,70.6686357813885,926.3979173590676,204.65765628609533,456.3795957600951,926.3979173590676,4053.0334526055814,3670.853240112918,382.1802124926636,14590920.42938009,13215071.664406505,1375848.764973589,926.3979173590676,4053.0334526055814,3670.853240112918,382.1802124926636,14590920.42938009,13215071.664406505,1375848.764973589,26.99999736009038,0.0,9840518.667656374 
 01/01  14:00:00,49.90819747636143,49.90819747636143,831.1165547845192,391.23893443145007,378.6222976521789,831.1165547845192,3630.1881208661109,3385.81514356048,244.3729773056305,13068677.235117998,12188934.516817727,879742.7183002698,831.1165547845192,3630.1881208661109,3385.81514356048,244.3729773056305,13068677.235117998,12188934.516817727,879742.7183002698,26.99999998629025,0.0,15829486.28554881 
 01/01  15:00:00,27.82905689339292,27.82905689339292,643.0729778599909,489.2005116043913,246.3125574545871,643.0729778599909,2773.805101834825,2652.134583894543,121.67051794028207,9985698.366605372,9547684.502020356,438013.86458501548,643.0729778599909,2773.805101834825,2652.134583894543,121.67051794028207,9985698.366605372,9547684.502020356,438013.86458501548,26.999999999872416,0.0,15272705.444467657 
 01/01  16:00:00,12.540144485157799,12.540144485157799,390.81811274778456,433.6234424380048,103.15812776007532,390.81811274778456,1627.7534758690836,1563.7428784398454,64.01059742923825,5859912.513128702,5629474.362383444,230438.15074525769,390.81811274778456,1627.7534758690836,1563.7428784398454,64.01059742923825,5859912.513128702,5629474.362383444,230438.15074525769,26.99999999999917,0.0,10841406.988986072 
 01/01  17:00:00,4.365064676294259,4.365064676294259,58.40460647557919,84.55450249589438,10.185882741086554,58.40460647557919,228.7854516843134,168.41517677147037,60.37027491284303,823627.6260635281,606294.6363772933,217332.9896862349,58.40460647557919,228.7854516843134,168.41517677147037,60.37027491284303,823627.6260635281,606294.6363772933,217332.9896862349,26.999999999999998,0.0,3188494.8649950816 
 01/01  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.734777830031605,0.0,0.0 
 01/01  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.909404495041239,0.0,0.0 
 01/01  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.735253980350462,0.0,0.0 
 01/01  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.325369740317669,0.0,0.0 
 01/01  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.484254248352856,0.0,0.0 
 01/01  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.076200605177865,0.0,0.0 
 01/01  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37737838020577138,0.0,0.0 
 01/02  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8123034131074298,0.0,0.0 
 01/02  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.560096423042888,0.0,0.0 
 01/02  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.327287588940541,0.0,0.0 
 01/02  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6230793147708069,0.0,0.0 
 01/02  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7139877165999,0.0,0.0 
 01/02  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.923194894235458,0.0,0.0 
 01/02  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.836123348148315,0.0,0.0 
 01/02  08:00:00,3.3726307274917048,3.829830057031921,3.6967097265164376,3.3726307274917048,6.608246470101442,3.6967097265164376,14.31753356509172,1.2924295692909349,13.025103995800786,51543.1208343302,4652.746449447366,46890.37438488283,3.6967097265164376,14.31753356509172,1.2924295692909349,13.025103995800786,51543.1208343302,4652.746449447366,46890.37438488283,-9.527773144728194,0.0,0.0 
 01/02  09:00:00,14.785904403523654,16.92079151725587,16.80040770075611,14.785904403523654,29.08783526432979,16.80040770075611,65.5757643358827,8.472583439735188,57.10318089614751,236072.75160917769,30501.300383046677,205571.451226131,16.80040770075611,65.5757643358827,8.472583439735188,57.10318089614751,236072.75160917769,30501.300383046677,205571.451226131,-9.325126050579314,0.0,0.0 
 01/02  10:00:00,25.435861081416264,27.57834168876662,28.480993463903159,25.435861081416264,49.94112909948026,28.480993463903159,111.48122279737132,13.247896181567495,98.23332661580382,401332.40207053677,47692.42625364298,353639.97581689376,28.480993463903159,111.48122279737132,13.247896181567495,98.23332661580382,401332.40207053677,47692.42625364298,353639.97581689376,-9.235070628721428,0.0,0.0 
